DATAFLOW,LAST UPDATE,freq,unit,tonnage,length,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:FISH_FLEET_ALT(1.0),21/03/24 23:00:00,A,GT,TOTAL,TOTAL,TOTAL,HR,2013,53503,
ESTAT:FISH_FLEET_ALT(1.0),21/03/24 23:00:00,A,GT,TOTAL,TOTAL,TOTAL,HR,2014,53431,
ESTAT:FISH_FLEET_ALT(1.0),21/03/24 23:00:00,A,GT,TOTAL,TOTAL,TOTAL,HR,2015,51765,
ESTAT:FISH_FLEET_ALT(1.0),21/03/24 23:00:00,A,GT,TOTAL,TOTAL,TOTAL,HR,2016,47931,
ESTAT:FISH_FLEET_ALT(1.0),21/03/24 23:00:00,A,GT,TOTAL,TOTAL,TOTAL,HR,2017,45601,
ESTAT:FISH_FLEET_ALT(1.0),21/03/24 23:00:00,A,GT,TOTAL,TOTAL,TOTAL,HR,2018,44157,
ESTAT:FISH_FLEET_ALT(1.0),21/03/24 23:00:00,A,GT,TOTAL,TOTAL,TOTAL,HR,2019,44008,
ESTAT:FISH_FLEET_ALT(1.0),21/03/24 23:00:00,A,GT,TOTAL,TOTAL,TOTAL,HR,2020,43444,
ESTAT:FISH_FLEET_ALT(1.0),21/03/24 23:00:00,A,GT,TOTAL,TOTAL,TOTAL,HR,2021,43121,
ESTAT:FISH_FLEET_ALT(1.0),21/03/24 23:00:00,A,GT,TOTAL,TOTAL,TOTAL,HR,2022,42996,
ESTAT:FISH_FLEET_ALT(1.0),21/03/24 23:00:00,A,GT,TOTAL,TOTAL,TOTAL,HR,2023,42253,
ESTAT:FISH_FLEET_ALT(1.0),21/03/24 23:00:00,A,KW,TOTAL,TOTAL,TOTAL,HR,2013,425635,
ESTAT:FISH_FLEET_ALT(1.0),21/03/24 23:00:00,A,KW,TOTAL,TOTAL,TOTAL,HR,2014,425005,
ESTAT:FISH_FLEET_ALT(1.0),21/03/24 23:00:00,A,KW,TOTAL,TOTAL,TOTAL,HR,2015,419177,
ESTAT:FISH_FLEET_ALT(1.0),21/03/24 23:00:00,A,KW,TOTAL,TOTAL,TOTAL,HR,2016,378891,
ESTAT:FISH_FLEET_ALT(1.0),21/03/24 23:00:00,A,KW,TOTAL,TOTAL,TOTAL,HR,2017,355843,
ESTAT:FISH_FLEET_ALT(1.0),21/03/24 23:00:00,A,KW,TOTAL,TOTAL,TOTAL,HR,2018,346556,
ESTAT:FISH_FLEET_ALT(1.0),21/03/24 23:00:00,A,KW,TOTAL,TOTAL,TOTAL,HR,2019,344870,
ESTAT:FISH_FLEET_ALT(1.0),21/03/24 23:00:00,A,KW,TOTAL,TOTAL,TOTAL,HR,2020,343382,
ESTAT:FISH_FLEET_ALT(1.0),21/03/24 23:00:00,A,KW,TOTAL,TOTAL,TOTAL,HR,2021,341898,
ESTAT:FISH_FLEET_ALT(1.0),21/03/24 23:00:00,A,KW,TOTAL,TOTAL,TOTAL,HR,2022,341187,
ESTAT:FISH_FLEET_ALT(1.0),21/03/24 23:00:00,A,KW,TOTAL,TOTAL,TOTAL,HR,2023,339035,
ESTAT:FISH_FLEET_ALT(1.0),21/03/24 23:00:00,A,NR,TOTAL,TOTAL,TOTAL,HR,2013,7739,
ESTAT:FISH_FLEET_ALT(1.0),21/03/24 23:00:00,A,NR,TOTAL,TOTAL,TOTAL,HR,2014,7736,
ESTAT:FISH_FLEET_ALT(1.0),21/03/24 23:00:00,A,NR,TOTAL,TOTAL,TOTAL,HR,2015,7727,
ESTAT:FISH_FLEET_ALT(1.0),21/03/24 23:00:00,A,NR,TOTAL,TOTAL,TOTAL,HR,2016,7627,
ESTAT:FISH_FLEET_ALT(1.0),21/03/24 23:00:00,A,NR,TOTAL,TOTAL,TOTAL,HR,2017,7559,
ESTAT:FISH_FLEET_ALT(1.0),21/03/24 23:00:00,A,NR,TOTAL,TOTAL,TOTAL,HR,2018,7566,
ESTAT:FISH_FLEET_ALT(1.0),21/03/24 23:00:00,A,NR,TOTAL,TOTAL,TOTAL,HR,2019,7604,
ESTAT:FISH_FLEET_ALT(1.0),21/03/24 23:00:00,A,NR,TOTAL,TOTAL,TOTAL,HR,2020,7543,
ESTAT:FISH_FLEET_ALT(1.0),21/03/24 23:00:00,A,NR,TOTAL,TOTAL,TOTAL,HR,2021,7507,
ESTAT:FISH_FLEET_ALT(1.0),21/03/24 23:00:00,A,NR,TOTAL,TOTAL,TOTAL,HR,2022,7487,
ESTAT:FISH_FLEET_ALT(1.0),21/03/24 23:00:00,A,NR,TOTAL,TOTAL,TOTAL,HR,2023,7320,
