DATAFLOW,LAST UPDATE,freq,aquameth,aquaenv,species,fishreg,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:FISH_AQ2A(1.0),17/06/24 11:00:00,A,TOTAL,TOTAL,F00,0,TLW,HR,2008,16386.5,
ESTAT:FISH_AQ2A(1.0),17/06/24 11:00:00,A,TOTAL,TOTAL,F00,0,TLW,HR,2009,16328.55,
ESTAT:FISH_AQ2A(1.0),17/06/24 11:00:00,A,TOTAL,TOTAL,F00,0,TLW,HR,2010,15686,
ESTAT:FISH_AQ2A(1.0),17/06/24 11:00:00,A,TOTAL,TOTAL,F00,0,TLW,HR,2011,17189,
ESTAT:FISH_AQ2A(1.0),17/06/24 11:00:00,A,TOTAL,TOTAL,F00,0,TLW,HR,2012,13921.45,
ESTAT:FISH_AQ2A(1.0),17/06/24 11:00:00,A,TOTAL,TOTAL,F00,0,TLW,HR,2013,13719.71,
ESTAT:FISH_AQ2A(1.0),17/06/24 11:00:00,A,TOTAL,TOTAL,F00,0,TLW,HR,2014,13767.8,
ESTAT:FISH_AQ2A(1.0),17/06/24 11:00:00,A,TOTAL,TOTAL,F00,0,TLW,HR,2015,16875.1,
ESTAT:FISH_AQ2A(1.0),17/06/24 11:00:00,A,TOTAL,TOTAL,F00,0,TLW,HR,2016,17268.98,
ESTAT:FISH_AQ2A(1.0),17/06/24 11:00:00,A,TOTAL,TOTAL,F00,0,TLW,HR,2017,17114.3,
ESTAT:FISH_AQ2A(1.0),17/06/24 11:00:00,A,TOTAL,TOTAL,F00,0,TLW,HR,2018,19680.25,
ESTAT:FISH_AQ2A(1.0),17/06/24 11:00:00,A,TOTAL,TOTAL,F00,0,TLW,HR,2019,20443.945,
ESTAT:FISH_AQ2A(1.0),17/06/24 11:00:00,A,TOTAL,TOTAL,F00,0,TLW,HR,2020,21770.69,
ESTAT:FISH_AQ2A(1.0),17/06/24 11:00:00,A,TOTAL,TOTAL,F00,0,TLW,HR,2021,27919.839,
ESTAT:FISH_AQ2A(1.0),17/06/24 11:00:00,A,TOTAL,TOTAL,F00,0,TLW,HR,2022,27217.73,
ESTAT:FISH_AQ2A(1.0),17/06/24 11:00:00,A,TOTAL,TOTAL,F01,0,TLW,HR,2008,16386.5,
ESTAT:FISH_AQ2A(1.0),17/06/24 11:00:00,A,TOTAL,TOTAL,F01,0,TLW,HR,2009,16328.55,
ESTAT:FISH_AQ2A(1.0),17/06/24 11:00:00,A,TOTAL,TOTAL,F01,0,TLW,HR,2010,15686,
ESTAT:FISH_AQ2A(1.0),17/06/24 11:00:00,A,TOTAL,TOTAL,F01,0,TLW,HR,2011,17189,
ESTAT:FISH_AQ2A(1.0),17/06/24 11:00:00,A,TOTAL,TOTAL,F01,0,TLW,HR,2012,13921.45,
ESTAT:FISH_AQ2A(1.0),17/06/24 11:00:00,A,TOTAL,TOTAL,F01,0,TLW,HR,2013,13719.71,
ESTAT:FISH_AQ2A(1.0),17/06/24 11:00:00,A,TOTAL,TOTAL,F01,0,TLW,HR,2014,13767.8,
ESTAT:FISH_AQ2A(1.0),17/06/24 11:00:00,A,TOTAL,TOTAL,F01,0,TLW,HR,2015,16875.1,
ESTAT:FISH_AQ2A(1.0),17/06/24 11:00:00,A,TOTAL,TOTAL,F01,0,TLW,HR,2016,17268.98,
ESTAT:FISH_AQ2A(1.0),17/06/24 11:00:00,A,TOTAL,TOTAL,F01,0,TLW,HR,2017,17114.3,
ESTAT:FISH_AQ2A(1.0),17/06/24 11:00:00,A,TOTAL,TOTAL,F01,0,TLW,HR,2018,19680.25,
ESTAT:FISH_AQ2A(1.0),17/06/24 11:00:00,A,TOTAL,TOTAL,F01,0,TLW,HR,2019,20443.945,
ESTAT:FISH_AQ2A(1.0),17/06/24 11:00:00,A,TOTAL,TOTAL,F01,0,TLW,HR,2020,21770.69,
ESTAT:FISH_AQ2A(1.0),17/06/24 11:00:00,A,TOTAL,TOTAL,F01,0,TLW,HR,2021,27919.839,
ESTAT:FISH_AQ2A(1.0),17/06/24 11:00:00,A,TOTAL,TOTAL,F01,0,TLW,HR,2022,27217.73,
