DATAFLOW,LAST UPDATE,freq,dest_use,species,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:FISH_AQ4B(1.0),24/07/24 11:00:00,A,TOTAL,F00,MIO,HR,2010,99,
ESTAT:FISH_AQ4B(1.0),24/07/24 11:00:00,A,TOTAL,F00,MIO,HR,2011,80.39,
ESTAT:FISH_AQ4B(1.0),24/07/24 11:00:00,A,TOTAL,F00,MIO,HR,2012,128.76,
ESTAT:FISH_AQ4B(1.0),24/07/24 11:00:00,A,TOTAL,F00,MIO,HR,2013,122.29,
ESTAT:FISH_AQ4B(1.0),24/07/24 11:00:00,A,TOTAL,F00,MIO,HR,2014,136,
ESTAT:FISH_AQ4B(1.0),24/07/24 11:00:00,A,TOTAL,F00,MIO,HR,2015,111.03,
ESTAT:FISH_AQ4B(1.0),24/07/24 11:00:00,A,TOTAL,F00,MIO,HR,2016,129.99,
ESTAT:FISH_AQ4B(1.0),24/07/24 11:00:00,A,TOTAL,F00,MIO,HR,2017,139,
ESTAT:FISH_AQ4B(1.0),24/07/24 11:00:00,A,TOTAL,F00,MIO,HR,2018,52.591,
ESTAT:FISH_AQ4B(1.0),24/07/24 11:00:00,A,TOTAL,F00,MIO,HR,2019,57.793,
ESTAT:FISH_AQ4B(1.0),24/07/24 11:00:00,A,TOTAL,F00,MIO,HR,2020,47.44,
ESTAT:FISH_AQ4B(1.0),24/07/24 11:00:00,A,TOTAL,F00,MIO,HR,2021,76.912,
ESTAT:FISH_AQ4B(1.0),24/07/24 11:00:00,A,TOTAL,F00,MIO,HR,2022,73.777,
ESTAT:FISH_AQ4B(1.0),24/07/24 11:00:00,A,TOTAL,F01,MIO,HR,2010,99,
ESTAT:FISH_AQ4B(1.0),24/07/24 11:00:00,A,TOTAL,F01,MIO,HR,2011,80.39,
ESTAT:FISH_AQ4B(1.0),24/07/24 11:00:00,A,TOTAL,F01,MIO,HR,2012,128.76,
ESTAT:FISH_AQ4B(1.0),24/07/24 11:00:00,A,TOTAL,F01,MIO,HR,2013,122.29,
ESTAT:FISH_AQ4B(1.0),24/07/24 11:00:00,A,TOTAL,F01,MIO,HR,2014,136,
ESTAT:FISH_AQ4B(1.0),24/07/24 11:00:00,A,TOTAL,F01,MIO,HR,2015,111.03,
ESTAT:FISH_AQ4B(1.0),24/07/24 11:00:00,A,TOTAL,F01,MIO,HR,2016,129.99,
ESTAT:FISH_AQ4B(1.0),24/07/24 11:00:00,A,TOTAL,F01,MIO,HR,2017,139,
ESTAT:FISH_AQ4B(1.0),24/07/24 11:00:00,A,TOTAL,F01,MIO,HR,2018,52.591,
ESTAT:FISH_AQ4B(1.0),24/07/24 11:00:00,A,TOTAL,F01,MIO,HR,2019,57.793,
ESTAT:FISH_AQ4B(1.0),24/07/24 11:00:00,A,TOTAL,F01,MIO,HR,2020,47.44,
ESTAT:FISH_AQ4B(1.0),24/07/24 11:00:00,A,TOTAL,F01,MIO,HR,2021,76.912,
ESTAT:FISH_AQ4B(1.0),24/07/24 11:00:00,A,TOTAL,F01,MIO,HR,2022,73.777,
